UniProt ID;Gene;Protein Name;Panel;Tissue Specificity
P60484;PTEN;Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN;Olink Explore Neurology;Low tissue specificity
P61218;POLR2F;DNA-directed RNA polymerases I, II, and III subunit RPABC2;Olink Explore Oncology;Low tissue specificity
P61978;HNRNPK;Heterogeneous nuclear ribonucleoprotein K;Olink Explore Cardiometabolic;Low tissue specificity
P62736;ACTA2;Actin, aortic smooth muscle;Olink Explore Cardiometabolic;Tissue enhanced: endometrium 1, seminal vesicle, smooth muscle
P82980;RBP5;Retinol-binding protein 5;Olink Explore Oncology;Tissue enhanced: kidney, liver
Q00796;SORD;Sorbitol dehydrogenase;Olink Explore Oncology;Tissue enhanced: cervix, liver
Q01469;FABP5;Fatty acid-binding protein 5;Olink Explore Neurology;Group enriched: esophagus, vagina
Q02643;GHRHR;Growth hormone-releasing hormone receptor;Olink Explore Neurology;Tissue enriched: pituitary gland
Q02747;GUCA2A;Guanylin;Olink Explore Neurology;Tissue enriched: intestine
Q03154;ACY1;Aminoacylase-1;Olink Explore Cardiometabolic;Group enriched: intestine, kidney, liver
Q05315;CLC;Galectin-10;Olink Explore Cardiometabolic;Tissue enriched: bone marrow
Q06033;ITIH3;Inter-alpha-trypsin inhibitor heavy chain H3;Olink Explore Cardiometabolic;Tissue enriched: liver
Q06787;FMR1;Fragile X messenger ribonucleoprotein 1;Olink Explore Oncology;Low tissue specificity
Q07507;DPT;Dermatopontin;Olink Explore Cardiometabolic;Low tissue specificity
Q07812;BAX;Apoptosis regulator BAX;Olink Explore Neurology;Low tissue specificity
Q08AG7;MZT1;Mitotic-spindle organizing protein 1;Olink Explore Oncology;Low tissue specificity
Q12765;SCRN1;Secernin-1;Olink Explore Inflammation;Tissue enhanced: brain
Q12794;HYAL1;Hyaluronidase-1;Olink Explore Cardiometabolic;Tissue enhanced: liver, lymphoid tissue
Q12846;STX4;Syntaxin-4;Olink Explore Oncology;Low tissue specificity
Q12918;KLRB1;Killer cell lectin-like receptor subfamily B member 1;Olink Explore Inflammation;Tissue enhanced: bone marrow, lymphoid tissue
Q13232;NME3;Nucleoside diphosphate kinase 3;Olink Explore Inflammation;Low tissue specificity
Q13426;XRCC4;DNA repair protein XRCC4;Olink Explore Neurology;Low tissue specificity
Q13508;ART3;Ecto-ADP-ribosyltransferase 3;Olink Explore Cardiometabolic;Group enriched: heart muscle, skeletal muscle, testis, tongue
Q14126;DSG2;Desmoglein-2;Olink Explore Neurology;Tissue enhanced: intestine, parathyroid gland
Q14210;LY6D;Lymphocyte antigen 6D;Olink Explore Inflammation;Tissue enhanced: esophagus, skin 1, vagina
Q14739;LBR;Delta(14)-sterol reductase LBR;Olink Explore Neurology;Low tissue specificity
Q15043;SLC39A14;Metal cation symporter ZIP14;Olink Explore Neurology;Tissue enhanced: liver, pancreas
Q15067;ACOX1;Peroxisomal acyl-coenzyme A oxidase 1;Olink Explore Cardiometabolic;Tissue enhanced: liver
Q15427;SF3B4;Splicing factor 3B subunit 4;Olink Explore Oncology;Low tissue specificity
Q15633;TARBP2;RISC-loading complex subunit TARBP2;Olink Explore Neurology;Low tissue specificity
Q15814;TBCC;Tubulin-specific chaperone C;Olink Explore Neurology;Low tissue specificity
Q15818;NPTX1;Neuronal pentraxin-1;Olink Explore Neurology;Tissue enriched: brain
Q15831;STK11;Serine/threonine-protein kinase STK11;Olink Explore Cardiometabolic;Low tissue specificity
Q16543;CDC37;Hsp90 co-chaperone Cdc37;Olink Explore Oncology;Low tissue specificity
Q16595;FXN;Frataxin, mitochondrial;Olink Explore Oncology;Low tissue specificity
Q16740;CLPP;ATP-dependent Clp protease proteolytic subunit, mitochondrial;Olink Explore Neurology;Low tissue specificity
Q16762;TST;Thiosulfate sulfurtransferase;Olink Explore Neurology;Tissue enhanced: liver
Q16772;GSTA3;Glutathione S-transferase A3;Olink Explore Oncology;Group enriched: adrenal gland, fallopian tube, placenta, skin 1
Q16881;TXNRD1;Thioredoxin reductase 1, cytoplasmic;Olink Explore Neurology;Low tissue specificity
Q3B7J2;GFOD2;Glucose-fructose oxidoreductase domain-containing protein 2;Olink Explore Oncology;Low tissue specificity
Q3KPI0;CEACAM21;Carcinoembryonic antigen-related cell adhesion molecule 21;Olink Explore Inflammation;Tissue enhanced: bone marrow, lymphoid tissue
Q4LE39;ARID4B;AT-rich interactive domain-containing protein 4B;Olink Explore Neurology;Low tissue specificity
Q53H47;SETMAR;Histone-lysine N-methyltransferase SETMAR;Olink Explore Neurology;Low tissue specificity
Q5JTD0;TJAP1;Tight junction-associated protein 1;Olink Explore Oncology;Low tissue specificity
Q5R372;RABGAP1L;Rab GTPase-activating protein 1-like;Olink Explore Inflammation;Tissue enhanced: heart muscle
Q5ZPR3;CD276;CD276 antigen;Olink Explore Inflammation;Low tissue specificity
Q6FI81;CIAPIN1;Anamorsin;Olink Explore Oncology;Low tissue specificity
Q6GTS8;PM20D1;N-fatty-acyl-amino acid synthase/hydrolase PM20D1;Olink Explore Cardiometabolic;Tissue enriched: pancreas
Q6NXT1;ANKRD54;Ankyrin repeat domain-containing protein 54;Olink Explore Oncology;Low tissue specificity
Q6P1M0;SLC27A4;Long-chain fatty acid transport protein 4;Olink Explore Neurology;Low tissue specificity
Q6P1N0;CC2D1A;Coiled-coil and C2 domain-containing protein 1A;Olink Explore Neurology;Low tissue specificity
Q6P2H3;CEP85;Centrosomal protein of 85 kDa;Olink Explore Oncology;Tissue enhanced: skeletal muscle, tongue
Q6P4E1;GOLM2;Protein GOLM2;Olink Explore Neurology;Low tissue specificity
Q6PGN9;PSRC1;Proline/serine-rich coiled-coil protein 1;Olink Explore Oncology;Group enriched: brain, choroid plexus, retina
Q6PIL6;KCNIP4;Kv channel-interacting protein 4;Olink Explore Neurology;Tissue enhanced: brain, retina
Q6PJW8;CNST;Consortin;Olink Explore Cardiometabolic;Low tissue specificity
Q6UWL2;SUSD1;Sushi domain-containing protein 1;Olink Explore Cardiometabolic;Low tissue specificity
Q6UWN8;SPINK6;Serine protease inhibitor Kazal-type 6;Olink Explore Oncology;Tissue enhanced: lymphoid tissue, salivary gland, vagina
Q6UWW8;CES3;Carboxylesterase 3;Olink Explore Oncology;Tissue enhanced: intestine, liver, skeletal muscle
Q6UX82;LYPD8;Ly6/PLAUR domain-containing protein 8;Olink Explore Oncology;Tissue enriched: intestine
Q6XZF7;DNMBP;Dynamin-binding protein;Olink Explore Neurology;Low tissue specificity
Q6ZMC9;SIGLEC15;Sialic acid-binding Ig-like lectin 15;Olink Explore Neurology;Tissue enhanced: breast, intestine, urinary bladder
Q6ZMH5;SLC39A5;Zinc transporter ZIP5;Olink Explore Inflammation;Group enriched: intestine, kidney, liver, pancreas
Q6ZMJ4;IL34;Interleukin-34;Olink Explore Neurology;Tissue enhanced: lymphoid tissue, skin 1
Q7KYR7;BTN2A1;Butyrophilin subfamily 2 member A1;Olink Explore Inflammation;Low tissue specificity
Q7L5N7;LPCAT2;Lysophosphatidylcholine acyltransferase 2;Olink Explore Oncology;Tissue enhanced: bone marrow, thyroid gland
Q7Z434;MAVS;Mitochondrial antiviral-signaling protein;Olink Explore Oncology;Low tissue specificity
Q7Z4W1;DCXR;L-xylulose reductase;Olink Explore Oncology;Tissue enriched: liver
Q7Z6M1;RABEPK;Rab9 effector protein with kelch motifs;Olink Explore Oncology;Low tissue specificity
Q7Z7D3;VTCN1;V-set domain-containing T-cell activation inhibitor 1;Olink Explore Oncology;Tissue enhanced: breast, fallopian tube, pancreas
Q86U17;SERPINA11;Serpin A11;Olink Explore Cardiometabolic;Tissue enriched: liver
Q86VW0;SESTD1;SEC14 domain and spectrin repeat-containing protein 1;Olink Explore Neurology;Low tissue specificity
Q8IVG5;SAMD9L;Sterile alpha motif domain-containing protein 9-like;Olink Explore Inflammation;Tissue enhanced: lymphoid tissue
Q8IWL1;SFTPA2;Pulmonary surfactant-associated protein A2;Olink Explore Oncology;Tissue enriched: lung
Q8N129;CNPY4;Protein canopy homolog 4;Olink Explore Oncology;Low tissue specificity
Q8N149;LILRA2;Leukocyte immunoglobulin-like receptor subfamily A member 2;Olink Explore Neurology;Tissue enhanced: bone marrow, lymphoid tissue
Q8N386;LRRC25;Leucine-rich repeat-containing protein 25;Olink Explore Oncology;Group enriched: bone marrow, lymphoid tissue
Q8N9I9;DTX3;Probable E3 ubiquitin-protein ligase DTX3;Olink Explore Oncology;Low tissue specificity
Q8NBZ7;UXS1;UDP-glucuronic acid decarboxylase 1;Olink Explore Oncology;Low tissue specificity
Q8NCC3;PLA2G15;Phospholipase A2 group XV;Olink Explore Oncology;Tissue enhanced: skeletal muscle
Q8NHS0;DNAJB8;DnaJ homolog subfamily B member 8;Olink Explore Cardiometabolic;Tissue enriched: testis
Q8TCS8;PNPT1;Polyribonucleotide nucleotidyltransferase 1, mitochondrial;Olink Explore Inflammation;Low tissue specificity
Q8TDL5;BPIFB1;BPI fold-containing family B member 1;Olink Explore Cardiometabolic;Tissue enhanced: cervix, salivary gland, stomach 1
Q8TE57;ADAMTS16;A disintegrin and metalloproteinase with thrombospondin motifs 16;Olink Explore Cardiometabolic;Tissue enhanced: brain, ovary
Q8WTV0;SCARB1;Scavenger receptor class B member 1;Olink Explore Neurology;Tissue enriched: adrenal gland
Q8WU39;MZB1;Marginal zone B- and B1-cell-specific protein;Olink Explore Inflammation;Tissue enhanced: intestine, lymphoid tissue
Q8WUX2;CHAC2;Glutathione-specific gamma-glutamylcyclotransferase 2;Olink Explore Oncology;Low tissue specificity
Q8WV07;LTO1;Protein LTO1 homolog;Olink Explore Inflammation;Low tissue specificity
Q8WV92;MITD1;MIT domain-containing protein 1;Olink Explore Neurology;Low tissue specificity
Q8WWN9;IPCEF1;Interactor protein for cytohesin exchange factors 1;Olink Explore Neurology;Group enriched: bone marrow, brain, lymphoid tissue, thyroid gland
Q8WWY7;WFDC12;WAP four-disulfide core domain protein 12;Olink Explore Oncology;Tissue enriched: skin 1
Q8WXD2;SCG3;Secretogranin-3;Olink Explore Inflammation;Tissue enhanced: brain, pituitary gland, retina
Q92484;SMPDL3A;Acid sphingomyelinase-like phosphodiesterase 3a;Olink Explore Inflammation;Low tissue specificity
Q92609;TBC1D5;TBC1 domain family member 5;Olink Explore Inflammation;Low tissue specificity
Q92820;GGH;Gamma-glutamyl hydrolase;Olink Explore Cardiometabolic;Tissue enhanced: kidney, liver
Q92851;CASP10;Caspase-10;Olink Explore Neurology;Low tissue specificity
Q92854;SEMA4D;Semaphorin-4D;Olink Explore Neurology;Tissue enhanced: brain
Q92917;GPKOW;G-patch domain and KOW motifs-containing protein;Olink Explore Neurology;Low tissue specificity
Q92932;PTPRN2;Receptor-type tyrosine-protein phosphatase N2;Olink Explore Neurology;Tissue enhanced: brain, pancreas
Q969P0;IGSF8;Immunoglobulin superfamily member 8;Olink Explore Cardiometabolic;Tissue enhanced: brain
Q96A56;TP53INP1;Tumor protein p53-inducible nuclear protein 1;Olink Explore Cardiometabolic;Tissue enhanced: liver
Q96AX2;RAB37;Ras-related protein Rab-37;Olink Explore Inflammation;Tissue enhanced: bone marrow, brain, lymphoid tissue
Q96CD2;PPCDC;Phosphopantothenoylcysteine decarboxylase;Olink Explore Neurology;Low tissue specificity
Q96DU3;SLAMF6;SLAM family member 6;Olink Explore Oncology;Tissue enriched: lymphoid tissue
Q96FE7;PIK3IP1;Phosphoinositide-3-kinase-interacting protein 1;Olink Explore Neurology;Low tissue specificity
Q96JP9;CDHR1;Cadherin-related family member 1;Olink Explore Neurology;Group enriched: retina, skin 1
Q96KG7;MEGF10;Multiple epidermal growth factor-like domains protein 10;Olink Explore Inflammation;Tissue enriched: brain
Q96N03;VSTM2L;V-set and transmembrane domain-containing protein 2-like protein;Olink Explore Cardiometabolic;Tissue enhanced: brain, heart muscle
Q96NA2;RILP;Rab-interacting lysosomal protein;Olink Explore Oncology;Tissue enhanced: heart muscle, skeletal muscle
Q96NB1;CEP20;Centrosomal protein 20;Olink Explore Oncology;Low tissue specificity
Q96PP9;GBP4;Guanylate-binding protein 4;Olink Explore Neurology;Low tissue specificity
Q99435;NELL2;Protein kinase C-binding protein NELL2;Olink Explore Inflammation;Tissue enhanced: brain, fallopian tube, retina
Q99549;MPHOSPH8;M-phase phosphoprotein 8;Olink Explore Cardiometabolic;Low tissue specificity
Q99674;CGREF1;Cell growth regulator with EF hand domain protein 1;Olink Explore Cardiometabolic;Tissue enhanced: brain, salivary gland
Q99683;MAP3K5;Mitogen-activated protein kinase kinase kinase 5;Olink Explore Oncology;Tissue enhanced: adrenal gland
Q99685;MGLL;Monoglyceride lipase;Olink Explore Inflammation;Low tissue specificity
Q9BRF8;CPPED1;Serine/threonine-protein phosphatase CPPED1;Olink Explore Neurology;Low tissue specificity
Q9BSG5;RTBDN;Retbindin;Olink Explore Oncology;Tissue enriched: retina
Q9BSW2;CRACR2A;EF-hand calcium-binding domain-containing protein 4B;Olink Explore Oncology;Tissue enhanced: bone marrow, intestine, salivary gland
Q9BT73;PSMG3;Proteasome assembly chaperone 3;Olink Explore Inflammation;Low tissue specificity
Q9BU40;CHRDL1;Chordin-like protein 1;Olink Explore Inflammation;Tissue enhanced: adipose tissue, seminal vesicle
Q9BUE0;MED18;Mediator of RNA polymerase II transcription subunit 18;Olink Explore Oncology;Low tissue specificity
Q9BXS1;IDI2;Isopentenyl-diphosphate delta-isomerase 2;Olink Explore Neurology;Tissue enriched: skeletal muscle
Q9C005;DPY30;Protein dpy-30 homolog;Olink Explore Oncology;Low tissue specificity
Q9H008;LHPP;Phospholysine phosphohistidine inorganic pyrophosphate phosphatase;Olink Explore Inflammation;Tissue enhanced: brain, choroid plexus
Q9H1C3;GLT8D2;Glycosyltransferase 8 domain-containing protein 2;Olink Explore Neurology;Low tissue specificity
Q9H2W6;MRPL46;39S ribosomal protein L46, mitochondrial;Olink Explore Neurology;Low tissue specificity
Q9H3R2;MUC13;Mucin-13;Olink Explore Neurology;Tissue enriched: intestine
Q9H446;RWDD1;RWD domain-containing protein 1;Olink Explore Neurology;Low tissue specificity
Q9H4P4;RNF41;E3 ubiquitin-protein ligase NRDP1;Olink Explore Oncology;Low tissue specificity
Q9H6S3;EPS8L2;Epidermal growth factor receptor kinase substrate 8-like protein 2;Olink Explore Oncology;Tissue enhanced: esophagus
Q9H7M9;VSIR;V-type immunoglobulin domain-containing suppressor of T-cell activation;Olink Explore Cardiometabolic;Tissue enhanced: bone marrow, lymphoid tissue
Q9HA65;TBC1D17;TBC1 domain family member 17;Olink Explore Neurology;Tissue enhanced: skeletal muscle
Q9HAT2;SIAE;Sialate O-acetylesterase;Olink Explore Oncology;Tissue enhanced: intestine
Q9HAV7;GRPEL1;GrpE protein homolog 1, mitochondrial;Olink Explore Oncology;Low tissue specificity
Q9HC38;GLOD4;Glyoxalase domain-containing protein 4;Olink Explore Inflammation;Low tissue specificity
Q9HD42;CHMP1A;Charged multivesicular body protein 1a;Olink Explore Neurology;Low tissue specificity
Q9NP70;AMBN;Ameloblastin;Olink Explore Inflammation;Not detected
Q9NP79;VTA1;Vacuolar protein sorting-associated protein VTA1 homolog;Olink Explore Neurology;Low tissue specificity
Q9NPH3;IL1RAP;Interleukin-1 receptor accessory protein;Olink Explore Neurology;Tissue enriched: liver
Q9NPH6;OBP2B;Odorant-binding protein 2b;Olink Explore Neurology;Tissue enhanced: skin 1, testis
Q9NR12;PDLIM7;PDZ and LIM domain protein 7;Olink Explore Inflammation;Tissue enhanced: endometrium 1, skeletal muscle
Q9NRD8;DUOX2;Dual oxidase 2;Olink Explore Cardiometabolic;Tissue enhanced: gallbladder, thyroid gland, urinary bladder
Q9NRV9;HEBP1;Heme-binding protein 1;Olink Explore Cardiometabolic;Tissue enhanced: intestine
Q9NRW1;RAB6B;Ras-related protein Rab-6B;Olink Explore Neurology;Tissue enriched: brain
Q9NSK7;C19orf12;Protein C19orf12;Olink Explore Neurology;Tissue enhanced: adipose tissue, tongue
Q9NUY8;TBC1D23;TBC1 domain family member 23;Olink Explore Oncology;Low tissue specificity
Q9NZC2;TREM2;Triggering receptor expressed on myeloid cells 2;Olink Explore Inflammation;Tissue enhanced: brain, choroid plexus, lung
Q9NZD4;AHSP;Alpha-hemoglobin-stabilizing protein;Olink Explore Neurology;Tissue enriched: bone marrow
Q9NZK5;ADA2;Adenosine deaminase 2;Olink Explore Cardiometabolic;Tissue enhanced: lymphoid tissue
Q9NZT2;OGFR;Opioid growth factor receptor;Olink Explore Oncology;Low tissue specificity
Q9P232;CNTN3;Contactin-3;Olink Explore Neurology;Tissue enhanced: brain
Q9UBB4;ATXN10;Ataxin-10;Olink Explore Neurology;Low tissue specificity
Q9UBW5;BIN2;Bridging integrator 2;Olink Explore Neurology;Tissue enhanced: bone marrow, lymphoid tissue
Q9UGT4;SUSD2;Sushi domain-containing protein 2;Olink Explore Neurology;Tissue enhanced: lung
Q9UHD0;IL19;Interleukin-19;Olink Explore Cardiometabolic;Group enriched: cervix, salivary gland
Q9UII2;ATP5IF1;ATPase inhibitor, mitochondrial;Olink Explore Inflammation;Low tissue specificity
Q9UJ68;MSRA;Mitochondrial peptide methionine sulfoxide reductase;Olink Explore Oncology;Tissue enhanced: kidney, liver
Q9UJA9;ENPP5;Ectonucleotide pyrophosphatase/phosphodiesterase family member 5;Olink Explore Inflammation;Tissue enriched: epididymis
Q9UJU6;DBNL;Drebrin-like protein;Olink Explore Inflammation;Low tissue specificity
Q9UKU9;ANGPTL2;Angiopoietin-related protein 2;Olink Explore Inflammation;Low tissue specificity
Q9UKV5;AMFR;E3 ubiquitin-protein ligase AMFR;Olink Explore Neurology;Low tissue specificity
Q9UL46;PSME2;Proteasome activator complex subunit 2;Olink Explore Neurology;Low tissue specificity
Q9UM07;PADI4;Protein-arginine deiminase type-4;Olink Explore Neurology;Group enriched: bone marrow, lymphoid tissue
Q9UNZ2;NSFL1C;NSFL1 cofactor p47;Olink Explore Neurology;Low tissue specificity
Q9UP79;ADAMTS8;A disintegrin and metalloproteinase with thrombospondin motifs 8;Olink Explore Oncology;Tissue enhanced: lung
Q9UPV0;CEP164;Centrosomal protein of 164 kDa;Olink Explore Inflammation;Low tissue specificity
Q9UQB8;BAIAP2;Brain-specific angiogenesis inhibitor 1-associated protein 2;Olink Explore Oncology;Low tissue specificity
Q9Y223;GNE;Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase;Olink Explore Oncology;Group enriched: intestine, liver, salivary gland
Q9Y243;AKT3;RAC-gamma serine/threonine-protein kinase;Olink Explore Oncology;Tissue enhanced: brain
Q9Y258;CCL26;C-C motif chemokine 26;Olink Explore Inflammation;Tissue enhanced: ovary, pituitary gland
Q9Y265;RUVBL1;RuvB-like 1;Olink Explore Oncology;Low tissue specificity
Q9Y266;NUDC;Nuclear migration protein nudC;Olink Explore Inflammation;Low tissue specificity
Q9Y2Z0;SUGT1;Protein SGT1 homolog;Olink Explore Oncology;Low tissue specificity
Q9Y3D6;FIS1;Mitochondrial fission 1 protein;Olink Explore Inflammation;Low tissue specificity
